"# of Use","# Terpakai"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s Produk"
"(Copy data from: %s)","(Menyalin data dari: %s)"
"This search no longer exists","Pencarian ini sudah tidak ada lagi"
"Tier Pricing","Deretan Harga"
"Tile","Kotak-Kotak"
"Time format","Time format"
"Title","Title"
"Top/Left","Atas/Kiri"
"Top/Right","Atas/Kanan"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","Total %d record berhasil dihapus"
"Total of %d record(s) were successfully updated","Total %d record berhasil diperbaharui"
"Type","Tipe"
"Unable to complete request. Please try again later.","Tidak dapat menyelesaikan permintaan. Tolong coba lagi nanti."
"Unable to find a search term to delete","Tidak dapat menemukan istilah pencarian untuk dihapus"
"Unable to find an attribute to delete","Tidak dapat menemukan atribut tntuk dihapus"
"Unable to get product id.","Tidak dapat mengambil id produk."
"Unassigned Attributes","Atribut yang tidak ditugaskan"
"Unique Value","Nilai Unik"
"Unique Value (not shared with other products)","Nilai Unik (tidak dibagikan untuk produk lain)"
"Unknown attribute: %s","Atribut tidak diketahui: %s"
"Up-sells","Up-sells"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","Perbaharui Atribut"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","Url"
"Url Rewrite Management","Pengurusan Url Rewrite"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Gunakan setelan konfigurasi"
"Use Default Value","Gunakan Nilai Patokan"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Gunakan dalan Navigasi Bertumpuk"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Gunakan dalan Navigasi Bertumpuk<br/>(Hanya bisa digunakan pada katalog dengan tipe masukan 'Dropdown')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Gunakan untuk Membuat Produk yang dapat Dikonfigurasikan"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use config","Use config"
"Use default","Use default"
"Use for Promo Rule Conditions","Use for Promo Rule Conditions"
"Use four-digit year format.","Use four-digit year format."
"Use in Advanced Search","Use in Advanced Search"
"Use in Layered Navigation","Use in Layered Navigation"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')"
"Use in Quick Search","Use in Quick Search"
"Used for Sorting in Product Listing","Used for Sorting in Product Listing"
"Used in Product Listing","Used in Product Listing"
"Value for ""%s"" is invalid.","Value for ""%s"" is invalid."
"Value for ""%s"" is invalid: %s","Value for ""%s"" is invalid: %s"
"Varchar","Varchar"
"View as","Tampilan"
"Virtual Product","Virtual Product"
"Visibility","Penampakan"
"Visible","Tampak"
"Visible on Catalog Pages on Front-end","Tampak pada Halam Katalog pada Halaman Depan"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Stampel"
"Watermark Default Size","Ukuran Patokan Stampel"
"Watermark Position","Letak Stampel"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Website"
"Websites","Websites"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown."
"Wrong BuyRequest instance in options group.","Wrong BuyRequest instance in options group."
"Wrong configuration item instance in options group.","Wrong configuration item instance in options group."
"Wrong configuration item option instance in options group.","Wrong configuration item option instance in options group."
"Wrong option instance type in options group.","Wrong option instance type in options group."
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group.","Wrong product instance type in options group."
"Wrong product type filter specified","Wrong product type filter specified"
"Wrong product type to extract configurable options.","Wrong product type to extract configurable options."
"Year Range","Year Range"
"Yes","Ya"
"Yes/No","Ya/Tidak"
"You cannot delete this attribute","Anda tidak dapat menghapus atribut ini"
"You cannot edit this attribute","Anda tidak dapat merubah atribut ini"
"You cannot remove system attribute from this set.","Anda tidak dapat membuang atribut dari set ini"
"You cannot update this attribute","Anda tidak dapat memperbaharui atribut ini"
"You have no items to compare.","Anda belum memilih produk untuk dibandingkan."
"You may also be interested in the following product(s)","Anda mungkin akan tertarik pada produk-produk ini"
"Zoom In","Perbesar"
"Zoom Out","Perkecil"
"[GLOBAL]","[UMUM]"
"and","dan"
"and above","dan atas"
"cache refresh needed","cache refresh needed"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","Cth. http://domain.com"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","produk per halaman"
"products","products"
"px.","px."
"save","save"
"select all","Pilih Semua"
"unselect all","Tidak memilih semua"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"Availability:","Stok:"
"Qty:","Qty:"
